R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C,R_FECHA_ENTREGA,A_NUMERO_CP,A_CLAU_UNICA_CP,_merge_01,A_IDTOTS_CA,A_CLAU_UNICA_CA,A_ID_CA,A_EXPEDIENT_CA,A_EMPRESA_CA,A_REF_ODOO_CA,A_FECHA_ALTA_ODOO_CA,A_NUMERO_CA,A_FECHA_EMISION_CA,A_PROVEEDOR_CA,A_ORIGEN_CA,A_IMPORTE_CA,A_ACUMULADO_CA,A_ESTADO_CA,_merge
1,1,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-10-17,535275,1,2025/00001,1130.14,1130.14,2026-01-15,535275,5796-C-C/00002,both,2,5796-C-C/00002,2,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00002,2025-10-17,1,2025-10-17,ALUBIX SL,C-C/00002,1130.14,2444.2,Hecho,both
2,2,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-10-17,535296,5,2025/00002,1314.06,2444.2,2026-01-15,535296,5796-C-C/00001,both,1,5796-C-C/00001,1,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00001,2025-10-17,5,2025-10-17,ROCALLA SA,C-C/00001,1314.06,1314.06,Hecho,both
3,3,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-10-22,537495,10,2025/00005,3714.7,6158.9,2026-01-15,537495,5796-C-C/00003,both,3,5796-C-C/00003,3,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00004,2025-10-22,10,2025-10-22,ALUBIX SL,C-C/00003,3714.7,6158.9,Hecho,both
3,3,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-10-22,537495,10,2025/00005,3714.7,6158.9,2026-01-15,537495,5796-C-C/00004,both,4,5796-C-C/00004,4,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00005,2025-10-22,10,2025-10-22,ROCALLA SA,C-C/00004,4319.7,10478.6,Hecho,both
4,4,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-10-22,537501,10,2025/00005,4319.7,10478.6,2026-01-15,,,left_only,,,,,,,,,,,,,,,left_only
5,5,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-10-29,540082,13,2025/00006,3780.04,14258.64,2026-01-15,,,left_only,,,,,,,,,,,,,,,left_only
6,6,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-10-29,540087,15,2025/00010,4126.1,18384.74,2026-01-15,540087,5796-C-C/00006,both,6,5796-C-C/00006,6,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00008,2025-10-29,15,2025-10-29,ROCALLA SA,C-C/00006,4126.1,18384.74,Hecho,both
7,7,5796,ADG32 5796 NSACARES SL,Facturada,ALUBIX SL,2025-11-05,542282,17,2025/00008,3523.52,21908.26,2026-01-15,542282,5796-C-C/00007,both,7,5796-C-C/00007,7,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00009,2025-11-05,17,2025-11-05,ALUBIX SL,C-C/00007,3523.52,21908.26,Hecho,both
8,8,5796,ADG32 5796 NSACARES SL,Facturada,ROCALLA SA,2025-11-05,542284,17,2025/00013,4467.32,26375.58,2026-01-15,542284,5796-C-C/00008,both,8,5796-C-C/00008,8,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00010,2025-11-05,17,2025-11-05,ROCALLA SA,C-C/00008,4467.32,26375.58,Hecho,both
9,9,5796,ADG32 5796 NSACARES SL,Facturada,ALUBIX SL,2025-11-12,544978,20,2025/00013,4038.98,30414.56,2026-01-15,544978,5796-C-C/00010,both,10,5796-C-C/00010,10,5796,ADG32 5796 NSACARES SL,MGZ01/ENTRA/00012,2025-11-12,20,2025-11-12,ALUBIX SL,C-C/00010,4038.98,34896.4,Hecho,both
